Description	Frames Taken	Total Frames	Slot #1	Slot #2	Slot #3	Slot #4	Slot #5	Slot #6	Slot #7	Slot #8	Slot #9	Slot #10	Slot #11	Slot #12	Slot #13	Slot #14	Slot #15	Slot #16	Slot #17	Slot #18	Slot #19	Slot #20	Shroom Fry	Shroom Roast	Shroom Steak	Honey Shroom	Maple Shroom	Jelly Shroom	Honey Super	Maple Super	Jelly Super	Honey Ultra	Maple Ultra	Jelly Ultra	Zess Dinner	Zess Special	Zess Deluxe	Spaghetti	Koopasta	Spicy Pasta	Ink Pasta	Spicy Soup	Fried Egg	Omelette Meal	Koopa Bun	Healthy Salad	Meteor Meal	Couples Cake	Mousse Cake	Shroom Cake	Choco Cake	Heartful Cake	Fruit Parfait	Mango Delight	Love Pudding	Zess Cookie	Shroom Crepe	Peach Tart	Koopa Tea	Zess Tea	Shroom Broth	Fresh Juice	Inky Sauce	Icicle Pop	Zess Frappe	Snow Bunny	Coco Candy	Honey Candy	Jelly Candy	Electro Pop	Fire Pop	Space Food	Poison Shroom	Trial Stew	Courage Meal	Coconut Bomb	Egg Bomb	Zess Dynamite	Mistake	Dried Bouquet
Begin	0	0	Golden Leaf	Peachy Peach	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Ruin Powder	Super Shroom	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Use Turtley Leaf in slot 20 to make (and toss) Koopa Tea	23	23	Golden Leaf	Peachy Peach	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Ruin Powder	Super Shroom	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Use Mystic Egg in slot 17 to make (and toss) Fried Egg	29	52	Golden Leaf	Peachy Peach	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Ruin Powder	Super Shroom	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Use Maple Syrup in slot 13 to make (and toss) Fresh Juice	37	89	Golden Leaf	Peachy Peach	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Ruin Powder	Super Shroom	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Use Life Shroom in slot 11 to make (and toss) Shroom Roast	41	130	Golden Leaf	Peachy Peach	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Ruin Powder	Super Shroom	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Use Peachy Peach in slot 2 and Cake Mix in slot 18 to make Peach Tart, auto-placed in slot 2	60	190	Golden Leaf	Peach Tart	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Ruin Powder	Super Shroom	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Use Cake Mix in slot 18 to make Mousse Cake, toss Peach Tart in slot 2	29	219	Golden Leaf	Mousse Cake	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Ruin Powder	Super Shroom	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Use Cake Mix in slot 18 and Ruin Powder in slot 8 to make Heartful Cake, auto-placed in slot 8	72	291	Golden Leaf	Mousse Cake	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Heartful Cake	Super Shroom	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Use Fire Flower in slot 14 to make Spicy Soup, toss Heartful Cake in slot 8	49	340	Golden Leaf	Mousse Cake	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Spicy Soup	Super Shroom	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Use Super Shroom in slot 9 and Maple Syrup in slot 13 to make Maple Super, auto-placed in slot 9	84	424	Golden Leaf	Mousse Cake	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Spicy Soup	Maple Super	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Use Hot Sauce in slot 19 and Cake Mix in slot 18 to make (and toss) Fire Pop	85	509	Golden Leaf	Mousse Cake	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Spicy Soup	Maple Super	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	True	True	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
Use Turtley Leaf in slot 20 and Hot Sauce in slot 19 to make Inky Sauce, toss Maple Super in slot 9	97	606	Golden Leaf	Mousse Cake	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Spicy Soup	Inky Sauce	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	True	True	False	False	True	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
Use Cake Mix in slot 18 and Honey Syrup in slot 12 to make (and toss) Honey Candy	99	705	Golden Leaf	Mousse Cake	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Spicy Soup	Inky Sauce	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	True	True	False	False	True	True	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Cake Mix in slot 18 and Life Shroom in slot 11 to make (and toss) Shroom Cake	101	806	Golden Leaf	Mousse Cake	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Spicy Soup	Inky Sauce	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	True	True	False	True	False	False	False	False	False	True	True	False	False	True	True	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Ice Storm in slot 15 and Maple Syrup in slot 13 to make (and toss) Zess Frappe	103	909	Golden Leaf	Mousse Cake	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Spicy Soup	Inky Sauce	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	True	True	False	True	False	False	False	False	False	True	True	False	False	True	True	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Mystic Egg in slot 17 and Life Shroom in slot 11 to make (and toss) Omelette Meal	103	1012	Golden Leaf	Mousse Cake	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Spicy Soup	Inky Sauce	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	True	False	True	False	False	False	False	False	True	True	False	False	True	True	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Ice Storm in slot 15 and Honey Syrup in slot 12 to make (and toss) Icicle Pop	105	1117	Golden Leaf	Mousse Cake	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Spicy Soup	Inky Sauce	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	True	False	True	False	False	False	False	False	True	True	False	False	True	True	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Honey Syrup in slot 12 and Life Shroom in slot 11 to make (and toss) Honey Super	113	1230	Golden Leaf	Mousse Cake	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Spicy Soup	Inky Sauce	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	True	False	True	False	False	False	False	False	True	True	False	False	True	True	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Sort - Alphabetical	38	1268	Spicy Soup	Ultra Shroom	Golden Leaf	Cake Mix	Turtley Leaf	Shooting Star	Life Shroom	Ice Storm	Slow Shroom	Inky Sauce	Mystery	Honey Syrup	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	True	False	True	False	False	False	False	False	True	True	False	False	True	True	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Volt Shroom in slot 13 to make (and toss) Shroom Fry	37	1305	Spicy Soup	Ultra Shroom	Golden Leaf	Cake Mix	Turtley Leaf	Shooting Star	Life Shroom	Ice Storm	Slow Shroom	Inky Sauce	Mystery	Honey Syrup	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	True	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	True	False	True	False	False	False	False	False	True	True	False	False	True	True	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Mystery in slot 11 to make (and toss) Zess Tea	41	1346	Spicy Soup	Ultra Shroom	Golden Leaf	Cake Mix	Turtley Leaf	Shooting Star	Life Shroom	Ice Storm	Slow Shroom	Inky Sauce	Mystery	Honey Syrup	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	True	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	True	False	True	False	False	False	False	False	True	True	True	False	True	True	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Mystery in slot 11 to make (and toss) Zess Cookie	41	1387	Spicy Soup	Ultra Shroom	Golden Leaf	Cake Mix	Turtley Leaf	Shooting Star	Life Shroom	Ice Storm	Slow Shroom	Inky Sauce	Mystery	Honey Syrup	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	True	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	True	False	True	False	False	False	True	False	True	True	True	False	True	True	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Mystery in slot 11 to make (and toss) Koopasta	41	1428	Spicy Soup	Ultra Shroom	Golden Leaf	Cake Mix	Turtley Leaf	Shooting Star	Life Shroom	Ice Storm	Slow Shroom	Inky Sauce	Mystery	Honey Syrup	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	True	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	True	False	False	True	True	True	False	False	False	False	True	True	False	True	False	False	False	True	False	True	True	True	False	True	True	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Mystery in slot 11 to make (and toss) Zess Dinner	41	1469	Spicy Soup	Ultra Shroom	Golden Leaf	Cake Mix	Turtley Leaf	Shooting Star	Life Shroom	Ice Storm	Slow Shroom	Inky Sauce	Mystery	Honey Syrup	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	True	True	False	False	False	False	True	True	False	False	False	False	True	False	False	False	True	False	False	True	True	True	False	False	False	False	True	True	False	True	False	False	False	True	False	True	True	True	False	True	True	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Mystery in slot 11 to make (and toss) Honey Shroom	41	1510	Spicy Soup	Ultra Shroom	Golden Leaf	Cake Mix	Turtley Leaf	Shooting Star	Life Shroom	Ice Storm	Slow Shroom	Inky Sauce	Mystery	Honey Syrup	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	True	True	False	True	False	False	True	True	False	False	False	False	True	False	False	False	True	False	False	True	True	True	False	False	False	False	True	True	False	True	False	False	False	True	False	True	True	True	False	True	True	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Jammin Jelly in slot 20 and Life Shroom in slot 7 to make Jelly Super, auto-placed in slot 7	66	1576	Spicy Soup	Ultra Shroom	Golden Leaf	Cake Mix	Turtley Leaf	Shooting Star	Jelly Super	Ice Storm	Slow Shroom	Inky Sauce	Mystery	Honey Syrup	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	True	True	False	True	False	False	True	True	True	False	False	False	True	False	False	False	True	False	False	True	True	True	False	False	False	False	True	True	False	True	False	False	False	True	False	True	True	True	False	True	True	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Mystery in slot 11 to make Egg Bomb, toss Jelly Super in slot 7	53	1629	Spicy Soup	Ultra Shroom	Golden Leaf	Cake Mix	Turtley Leaf	Shooting Star	Egg Bomb	Ice Storm	Slow Shroom	Inky Sauce	Mystery	Honey Syrup	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	True	True	False	True	False	False	True	True	True	False	False	False	True	False	False	False	True	False	False	True	True	True	False	False	False	False	True	True	False	True	False	False	False	True	False	True	True	True	False	True	True	True	True	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False
Use Jammin Jelly in slot 20 and Volt Shroom in slot 13 to make (and toss) Jelly Shroom	93	1722	Spicy Soup	Ultra Shroom	Golden Leaf	Cake Mix	Turtley Leaf	Shooting Star	Egg Bomb	Ice Storm	Slow Shroom	Inky Sauce	Mystery	Honey Syrup	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	True	True	False	True	False	True	True	True	True	False	False	False	True	False	False	False	True	False	False	True	True	True	False	False	False	False	True	True	False	True	False	False	False	True	False	True	True	True	False	True	True	True	True	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False
Use Maple Syrup in slot 18 and Volt Shroom in slot 13 to make (and toss) Maple Shroom	97	1819	Spicy Soup	Ultra Shroom	Golden Leaf	Cake Mix	Turtley Leaf	Shooting Star	Egg Bomb	Ice Storm	Slow Shroom	Inky Sauce	Mystery	Honey Syrup	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	True	True	False	True	True	True	True	True	True	False	False	False	True	False	False	False	True	False	False	True	True	True	False	False	False	False	True	True	False	True	False	False	False	True	False	True	True	True	False	True	True	True	True	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False
Sort - Alphabetical	38	1857	Spicy Soup	Ultra Shroom	Golden Leaf	Cake Mix	Turtley Leaf	Shooting Star	Ice Storm	Slow Shroom	Inky Sauce	Mystery	Honey Syrup	Egg Bomb	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	True	True	False	True	True	True	True	True	True	False	False	False	True	False	False	False	True	False	False	True	True	True	False	False	False	False	True	True	False	True	False	False	False	True	False	True	True	True	False	True	True	True	True	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False
Use Mystery in slot 10 to make Spaghetti, auto-placed in slot 10	16	1873	Spicy Soup	Ultra Shroom	Golden Leaf	Cake Mix	Turtley Leaf	Shooting Star	Ice Storm	Slow Shroom	Inky Sauce	Spaghetti	Honey Syrup	Egg Bomb	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	True	True	False	True	True	True	True	True	True	False	False	False	True	False	False	True	True	False	False	True	True	True	False	False	False	False	True	True	False	True	False	False	False	True	False	True	True	True	False	True	True	True	True	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False
Use Hot Sauce in slot 19 and Spaghetti in slot 10 to make Spicy Pasta, auto-placed in slot 10	74	1947	Spicy Soup	Ultra Shroom	Golden Leaf	Cake Mix	Turtley Leaf	Shooting Star	Ice Storm	Slow Shroom	Inky Sauce	Spicy Pasta	Honey Syrup	Egg Bomb	Volt Shroom	Fire Flower	Mystic Egg	Hot Dog	Mousse Cake	Maple Syrup	Hot Sauce	Jammin Jelly	True	True	False	True	True	True	True	True	True	False	False	False	True	False	False	True	True	True	False	True	True	True	False	False	False	False	True	True	False	True	False	False	False	True	False	True	True	True	False	True	True	True	True	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False
Sort - Reverse Alphabetical	40	1987	Jammin Jelly	Hot Sauce	Maple Syrup	Mousse Cake	Hot Dog	Mystic Egg	Fire Flower	Volt Shroom	Egg Bomb	Honey Syrup	Inky Sauce	Slow Shroom	Ice Storm	Shooting Star	Spicy Pasta	Turtley Leaf	Cake Mix	Golden Leaf	Ultra Shroom	Spicy Soup	True	True	False	True	True	True	True	True	True	False	False	False	True	False	False	True	True	True	False	True	True	True	False	False	False	False	True	True	False	True	False	False	False	True	False	True	True	True	False	True	True	True	True	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False
